accepted_name,orig_no,taxon_no,taxon_name,difference,accepted_no.x,accepted_rank,parent_no,ref_pubyr,reference_no.x,is_extant,n_occs,family,genus,primary_reference,specimen_no,is_type,accepted_no.y,max_ma,min_ma,reference_no.y,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
Absarokius abbotti,44019,43687,Absarokius abbotti,NA,44019,species,40794,1915,2471,extinct,41,Omomyidae,Absarokius,"W. D. Matthew. 1915. A revision of the Lower Eocene Wasatch and Wind River faunas. \r\nPart IV. - Entelonychia, Primates, Insectivora (part). Bulletin of the American Museum of Natural History 34(14):429-483",4345,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius abbotti,44019,43687,Absarokius abbotti,NA,44019,species,40794,1915,2471,extinct,41,Omomyidae,Absarokius,"W. D. Matthew. 1915. A revision of the Lower Eocene Wasatch and Wind River faunas. \r\nPart IV. - Entelonychia, Primates, Insectivora (part). Bulletin of the American Museum of Natural History 34(14):429-483",4344,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius abbotti,44019,43687,Absarokius abbotti,NA,44019,species,40794,1915,2471,extinct,41,Omomyidae,Absarokius,"W. D. Matthew. 1915. A revision of the Lower Eocene Wasatch and Wind River faunas. \r\nPart IV. - Entelonychia, Primates, Insectivora (part). Bulletin of the American Museum of Natural History 34(14):429-483",3,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius abbotti,44019,43687,Absarokius abbotti,NA,44019,species,40794,1915,2471,extinct,41,Omomyidae,Absarokius,"W. D. Matthew. 1915. A revision of the Lower Eocene Wasatch and Wind River faunas. \r\nPart IV. - Entelonychia, Primates, Insectivora (part). Bulletin of the American Museum of Natural History 34(14):429-483",4341,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius abbotti,44019,43687,Absarokius abbotti,NA,44019,species,40794,1915,2471,extinct,41,Omomyidae,Absarokius,"W. D. Matthew. 1915. A revision of the Lower Eocene Wasatch and Wind River faunas. \r\nPart IV. - Entelonychia, Primates, Insectivora (part). Bulletin of the American Museum of Natural History 34(14):429-483",4342,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius abbotti,44019,43687,Absarokius abbotti,NA,44019,species,40794,1915,2471,extinct,41,Omomyidae,Absarokius,"W. D. Matthew. 1915. A revision of the Lower Eocene Wasatch and Wind River faunas. \r\nPart IV. - Entelonychia, Primates, Insectivora (part). Bulletin of the American Museum of Natural History 34(14):429-483",4343,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius abbotti,43693,43693,Absarokius noctivagus,subjective synonym of,44019,species,40794,1987,1123,extinct,41,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4345,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius abbotti,43693,43693,Absarokius noctivagus,subjective synonym of,44019,species,40794,1987,1123,extinct,41,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4344,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius abbotti,43693,43693,Absarokius noctivagus,subjective synonym of,44019,species,40794,1987,1123,extinct,41,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",3,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius abbotti,43693,43693,Absarokius noctivagus,subjective synonym of,44019,species,40794,1987,1123,extinct,41,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4341,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius abbotti,43693,43693,Absarokius noctivagus,subjective synonym of,44019,species,40794,1987,1123,extinct,41,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4342,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius abbotti,43693,43693,Absarokius noctivagus,subjective synonym of,44019,species,40794,1987,1123,extinct,41,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4343,NA,44019,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius gazini,43689,43689,Absarokius gazini,NA,43689,species,40794,1987,1123,extinct,3,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",7,NA,43689,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius gazini,43689,43689,Absarokius gazini,NA,43689,species,40794,1987,1123,extinct,3,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",8,NA,43689,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius gazini,43689,43689,Absarokius gazini,NA,43689,species,40794,1987,1123,extinct,3,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",6,holotype,43689,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius metoecus,43691,43691,Absarokius metoecus,NA,43691,species,40794,1987,1123,extinct,32,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4347,NA,43691,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius metoecus,43691,43691,Absarokius metoecus,NA,43691,species,40794,1987,1123,extinct,32,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4346,NA,43691,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius metoecus,43691,43691,Absarokius metoecus,NA,43691,species,40794,1987,1123,extinct,32,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4349,NA,43691,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokius metoecus,43691,43691,Absarokius metoecus,NA,43691,species,40794,1987,1123,extinct,32,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",4348,NA,43691,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA
