accepted_name,orig_no,taxon_no,taxon_name,difference,accepted_no,accepted_rank,parent_no,ref_pubyr,reference_no,is_extant,n_occs,family,genus,primary_reference
Azibius trerki,143120,143120,Azibius trerki,,143120,species,86717,2004,29407,extinct,11,Azibiidae,Azibius,"R. Tabuce, M. Mahboubi, and P. Tafforeau, J. Sudre. 2004. Discovery of a highly-specialized plesiadapiform primate in the early-middle Eocene of northwestern Africa. Journal of Human Evolution 47(5):305-321"
Azibius trerki,113510,113510,Tabelia hammadae,subjective synonym of,143120,species,86717,1994,26072,extinct,11,Azibiidae,Azibius,"M. Godinot and M. Mahboubi. 1994. Les petits primates simiiformes de Glib Zegdou (Eocene inferieur a moyen d'Algerie). Comptes Rendus d'la Academie des Sciences, serie II 319:357-364"
Azibius trerki,143119,143119,Dralestes hammadaensis,subjective synonym of,143120,species,86717,2004,29407,extinct,11,Azibiidae,Azibius,"R. Tabuce, M. Mahboubi, and P. Tafforeau, J. Sudre. 2004. Discovery of a highly-specialized plesiadapiform primate in the early-middle Eocene of northwestern Africa. Journal of Human Evolution 47(5):305-321"
Algeripithecus minutus,143122,143122,Algeripithecus minutus,,143122,species,143121,1992,29408,extinct,4,Azibiidae,Algeripithecus,M. Godinot and M. Mahboubi. 1992. Earliest known simian primate found in Algeria. Nature 357:324-326
Paragalago granti,385153,390421,Paragalago granti,,385153,species,390414,1907,68706,extant,0,Galagidae,Paragalago,"O. Thomas. 1907. The Rudd Exploration of South Africa-VII. List of Mammals obtained by Mr. Grant at Coguno, Inhambane. Proceedings of the Zoological Society of London 1907:285-306"
Paragalago orinus,385871,390420,Paragalago orinus,,385871,species,390414,2017,69599,extant,0,Galagidae,Paragalago,"J.C. Masters, F.E. Génin, and S. Couette, CP Groves, SD Nash, M. Delpero, L. Pozzi. 2017. A new genus for the eastern dwarf galagos (Primates: Galagidae). Zoological Journal of the Linnean Society 181:229-241"
Paragalago zanzibaricus,385869,390417,Paragalago zanzibaricus,,385869,species,390414,1893,68839,extant,0,Galagidae,Paragalago,P. Matschie. 1893. Über auscheinend neue Afrikanische Säugethiere\r\n. Sitzungsberichte der Gesellschaft Naturforschender Freunde zu Berlin
Paragalago cocos,391030,391032,Paragalago cocos,,391030,species,390414,1912,69654,extant,0,Galagidae,Paragalago,"E. Heller. 1912. New races of insectivores, bats and lemurs from British East Africa. Smithsonian Miscellaneous Collections 60:1-13"
Paragalago rondoensis,385825,390419,Paragalago rondoensis,,385825,species,390414,2017,69599,extant,0,Galagidae,Paragalago,"J.C. Masters, F.E. Génin, and S. Couette, CP Groves, SD Nash, M. Delpero, L. Pozzi. 2017. A new genus for the eastern dwarf galagos (Primates: Galagidae). Zoological Journal of the Linnean Society 181:229-241"
Saharagalago misrensis,90336,90336,Saharagalago misrensis,,90336,species,90335,2003,19346,extinct,1,Galagidae,Saharagalago,"E. R. Seiffert, E. L. Simons, and Y. Attia. 2003. Fossil evidence for an ancient divergence of lorises and galagos. Nature 422:421-424"
Sciurocheirus gabonensis,385872,390177,Sciurocheirus gabonensis,,385872,species,390174,1863,68700,extant,0,Galagidae,Sciurocheirus,"J.E. Gray. 1863. Revision of the species of lemuroid animals, with the description of some new species\r\n. Proceedings of the Zoological Society of London\r\n 1863:129-152"
Sciurocheirus cameronensis,390180,390181,Sciurocheirus cameronensis,,390180,species,390174,1876,69548,extant,0,Galagidae,Sciurocheirus,W. Peters. 1876. Monatsberichte der Königlichen Preussische Akademie des Wissenschaften zu Berlin
Sciurocheirus alleni,232724,390179,Sciurocheirus alleni,,232724,species,390174,2018,68855,extant,0,Galagidae,Sciurocheirus,"C. J. Burgin, J. P. Colella, and P. L. Kahn, N. S. Upham. 2018. How many species of mammals are there?. Journal of Mammalogy 99(1):1-14"
Sciurocheirus makandensis,390175,390175,Sciurocheirus makandensis,,390175,species,390174,2013,69545,extant,0,Galagidae,Sciurocheirus,"L. Ambrose. 2013. Scirocheirus makandensis—Makande squirrel galago\r\n.  In T. M. Butynski, J. Kingdon, J. Kalina (eds.), Mammals of Africa II:421-422"
Euoticus pallidus,385146,385147,Euoticus pallidus,,385146,species,238591,1863,68700,extant,0,Galagidae,Euoticus,"J.E. Gray. 1863. Revision of the species of lemuroid animals, with the description of some new species\r\n. Proceedings of the Zoological Society of London\r\n 1863:129-152"
Euoticus elegantulus,238586,238589,Euoticus elegantulus,,238586,species,238591,1940,41848,extant,0,Galagidae,Euoticus,I. T. Sanderson. 1940. The Mammals of the North Cameroons Forest Area. Being the Results of the Percy Sladen Expedition to the Mamfe Division of the British Cameroons. Transactions of the Zoological Society of London 24(7):623-725
Otolemur howelli,430623,430623,Otolemur howelli,,430623,species,121441,2010,68722,extinct,0,Galagidae,Otolemur,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Otolemur garnettii,385165,385166,Otolemur garnettii,,385165,species,121441,1838,68710,extant,0,Galagidae,Otolemur,W. Ogilby. 1838. Proceedings of the Zoological Society of London.
Otolemur monteiri,385845,385846,Otolemur monteiri,,385845,species,121441,2005,30426,extant,0,Galagidae,Otolemur,D. E. Wilson and D. M. Reeder. 2005. Mammal species of the world : a taxonomic and geographic reference
Otolemur crassicaudatus,385163,385164,Otolemur crassicaudatus,,385163,species,121441,1812,68690,extant,1,Galagidae,Otolemur,M. Geoffroy Saint-Hilaire. 1812. Suite au Tableau des Quadrumanes. Annales du Muséum d'histoire naturelle 19:156-170
Galago matschiei,385068,385068,Galago matschiei,,385068,species,103125,1917,68660,extant,0,Galagidae,Galago,L.L. Lorenz. 1917. Beitrag zur Kenntnis der Affen und Halbaffen von Zentralafrika. Annalen des K.K. Naturhistorischen Hofmuseums 31:169-241
Galago gallarum,236817,236817,Galago gallarum,,236817,species,103125,1912,41132,extant,0,Galagidae,Galago,E. Lönnberg. 1912. Mammals collected by the Swedish zoological expedition to British East Africa 1911. Kungl. Svenska vetenskapsakademiens handlingar band 48(5):1-188
Galago farafraensis,113471,113471,Galago farafraensis,,113471,species,103125,2006,26066,extinct,1,Galagidae,Galago,"M. Pickford, H. Wanas, and H. Soliman. 2006. Indications for a humid climate in the Western Desert of Egypt 11–10 Myr ago: evidence from Galagidae (Primates, Mammalia). Comptes Rendus Palevol 5(8):935-943"
Galago sadimanensis,430624,430624,Galago sadimanensis,,430624,species,103125,2010,68722,extinct,1,Galagidae,Galago,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Galago moholi,232726,232726,Galago moholi,,232726,species,103125,1972,41275,extant,0,Galagidae,Galago,"L. E. M. Boer. 1972. The karyotype of Galago alleni Waterhouse 1837 (2N=40), compared with that of Galago senegalensis Geoffroy 1796 (2N=38) (Primates, Prosimii, Galagidae). Genetica 43(2):183-189"
Galago senegalensis,232725,232725,Galago senegalensis,,232725,species,103125,1972,41275,extant,5,Galagidae,Galago,"L. E. M. Boer. 1972. The karyotype of Galago alleni Waterhouse 1837 (2N=40), compared with that of Galago senegalensis Geoffroy 1796 (2N=38) (Primates, Prosimii, Galagidae). Genetica 43(2):183-189"
Komba minor,430593,430593,Komba minor,,430593,species,40778,2010,68722,extinct,0,Galagidae,Komba,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Komba walkeri,430595,430595,Komba walkeri,,430595,species,40778,2010,68722,extinct,0,Galagidae,Komba,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Komba robustus,385231,385231,Komba robustus,,385231,species,40778,2010,68722,extinct,0,Galagidae,Komba,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
Komba winamensis,430594,430594,Komba winamensis,,430594,species,40778,2010,68722,extinct,1,Galagidae,Komba,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
