"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&base_name=primates&show=ref"
"Access Time","Mon 2023-03-13 21:35:20 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","primates"
"","timerule","major"
"","taxon_status","all"
"","show","ref"
"Elapsed Time","0.00432"
"Records Found","2322"
"Records Returned","2322"
"Records:"
"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no","primary_reference"
"3","spm","N","0","0","","","","","","m1","","132","","","Bown and Rose 1987","Absarokius abbotti","species","43687","","Absarokius abbotti","species","44019","","","1123","T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
"4","spm","N","0","0","","","holotype","","","m1","","1","","","Bown and Rose 1987 (type)","Absarokius australis","species","43688","recombined as","Artimonius australis","species","43688","","","1123","T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
"5","spm","N","0","0","","","","","","m1","","1","","","Bown and Rose 1987","Absarokius australis","species","43688","recombined as","Artimonius australis","species","43688","","","1123","T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
"6","spm","N","0","0","","","holotype","","","m1","","1","","","Bown and Rose 1987 (type)","Absarokius gazini","species","43689","","Absarokius gazini","species","43689","","","1123","T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
"7","spm","N","0","0","","","","","","m1","","1","","","Bown and Rose 1987 (Wind River Fm.)","Absarokius gazini","species","43689","","Absarokius gazini","species","43689","","","1123","T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
"8","spm","N","0","0","","","","","","m1","","1","","","Bown and Rose 1987 (Willwood)","Absarokius gazini","species","43689","","Absarokius gazini","species","43689","","","1123","T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
"9","spm","N","0","0","","","","","","m1","","49","","","Bown and Rose 1987","Absarokius metoecus","species","43691","","Absarokius metoecus","species","43691","","","1123","T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
"10","spm","N","0","0","","","holotype","","","m1","","1","","","Bown and Rose 1987 (type)","Absarokius nocerai","species","43692","recombined as","Artimonius nocerai","species","43692","","","1123","T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
"17","spm","","231929","0","15119","","holotype","","","m1","","2","","","Bloch et al. 2002 (includes type: SC-62)","Acidomomys hebeticus","species","43719","","Acidomomys hebeticus","species","43719","56.8","55.8","6716","J. I. Bloch, D. M. Boyer, and P. D. Gingerich, G. F. Gunnell. 2002. New primitive paromomyid from the Clarkforkian of Wyoming and dental eruption in Plesiadapiformes. Journal of Vertebrate Paleontology 22(2):366-379"
"63","spm","","175339","0","16473","","holotype","","","m1","","1","","","Gunnell 1995a (type: UM BRW-195)","Ageitodendron matthewi","species","43807","","Ageitodendron matthewi","species","43807","50.3","46.2","1732","G. F. Gunnell. 1995. Omomyid primates (Tarsiiformes) from the Bridger Formation, middle Eocene, southern Green River Basin, Wyoming. Journal of Human Evolution 28"
