identified_name,identified_rank,difference,accepted_name,accepted_rank,max_ma,min_ma,family,genus,lng,lat,primary_reference
Acidomomys hebeticus,species,NA,Acidomomys hebeticus,species,56.8,55.8,Paromomyidae,Acidomomys,-109,44.299999,"J. I. Bloch, D. M. Boyer, and P. D. Gingerich, G. F. Gunnell. 2002. New primitive paromomyid from the Clarkforkian of Wyoming and dental eruption in Plesiadapiformes. Journal of Vertebrate Paleontology 22(2):366-379"
Ageitodendron matthewi,species,NA,Ageitodendron matthewi,species,50.3,46.2,Omomyidae,Ageitodendron,-110.5,41.200001,"G. F. Gunnell. 1995. Omomyid primates (Tarsiiformes) from the Bridger Formation, middle Eocene, southern Green River Basin, Wyoming. Journal of Human Evolution 28"
Anemorhysis wortmani,species,NA,Anemorhysis wortmani,species,55.8,46.2,Omomyidae,Anemorhysis,-110.699997,41.799999,"J.-P. Zonneveld, G. F. Gunnell, and W. S. Bartels. 2000. Early Eocene fossil vertebrates from the southwestern Green River Basin, Lincoln and Uinta counties, Wyoming. Journal of Vertebrate Paleontology 20(2):369-386"
Arapahovius advena,species,NA,Arapahovius advena,species,55.8,50.3,Omomyidae,Arapahovius,-108,44,"K. D. Rose. 1995. Anterior dentition and relationships of the early Eocene omomyids Arapahovius advena and Teilhardina demissa, sp. nov. Journal of Human Evolution 28"
Arctodontomys wilsoni,species,NA,Arctodontomys wilsoni,species,55.8,50.3,Microsyopidae,Arctodontomys,-109,44.299999,"G. F. Gunnell. 1985. Systematics of Early Eocene Microsyopinae (Mammalia, Primates) in the Clark's Fork Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 27(2):51-71"
Cantius torresi,species,NA,Cantius torresi,species,55.8,50.3,Notharctidae,Cantius,-109,44.299999,"P. D. Gingerich. 1995. Sexual Dimorphism in Earliest Eocene Cantis torresi (Mammalia, Primates, Adapoidea). Contributions from the Museum of Paleontology, University of Michigan 29(8):185-199"
Carpodaptes rosei,species,NA,Carpodaptes rosei,species,61.7,56.8,Carpolestidae,Carpodaptes,-108.199997,43.200001,"K. C. Beard. 2000. A new species of Carpocristes (Mammalia: Primatomorpha) from the middle Tiffanian of the Bison Basin, Wyoming, with notes on carpolestid phylogeny. Annals of Carnegie Museum 69(3):195-208"
Carpodaptes aulacodon,species,NA,Carpodaptes aulacodon,species,61.7,56.8,Carpolestidae,Carpodaptes,-107.633331,37.116669,"G. G. Simpson. 1935. The Tiffany fauna, Upper Paleocene. 3, Primates, Carnivora, Condylarthra, and Amblypoda. American Museum Novitates 817"
Carpodaptes stonleyi,species,NA,Carpodaptes stonleyi,species,58.7,55.8,Carpolestidae,Carpodaptes,-108.301559,44.65723,"J. I. Bloch, D. C. Fisher, and K. D. Rose, P. D. Gingerich. 2001. Stratocladistic analysis of Paleocene Carpolestidae (Mammalia, Plesiadapiformes) with description of a new late Tiffanian genus. Journal of Vertebrate Paleontology 21(1):119-131"
Carpolestes cygneus,species,recombined as,Carpodaptes cygneus,species,61.7,56.8,Carpolestidae,Carpodaptes,-115.4627,54.801998,"R. C. Fox. 2002. The dentition and relationships of Carpodaptes cygneus (Russell) (Carpolestidae, Plesiadapiformes, Mammalia), from the late Paleocene of Alberta, Canada. Journal of Paleontology 76(5):864-881"
Carpodaptes hazelae,species,NA,Carpodaptes hazelae,species,61.7,56.8,Carpolestidae,Carpodaptes,-109.800003,45.799999,G. G. Simpson. 1937. Additions to the Upper Paleocene fauna of the Crazy Mountain field. American Museum Novitates 940
Carpodaptes stonleyi,species,NA,Carpodaptes stonleyi,species,61.7,56.8,Carpolestidae,Carpodaptes,-102.748001,49.063999,D. W. Krause. 1978. Paleocene primates from western Canada. Canadian Journal of Earth Sciences 15
Carpomegodon jepseni,species,recombined as,Carpodaptes jepseni,species,58.7,55.8,Carpolestidae,Carpodaptes,-108.301559,44.65723,"J. I. Bloch, D. C. Fisher, and K. D. Rose, P. D. Gingerich. 2001. Stratocladistic analysis of Paleocene Carpolestidae (Mammalia, Plesiadapiformes) with description of a new late Tiffanian genus. Journal of Vertebrate Paleontology 21(1):119-131"
Micromomys willwoodensis,species,recombined as,Dryomomys willwoodensis,species,55.8,50.3,Micromomyidae,Dryomomys,-106.599998,44,"P. Robinson. 1994. Myrmekomomys, a new genus of Micromomyine (Mammalia, ?Microsyopidae) from the lower Eocene rocks of the Powder River Basin, Wyoming. Contributions to Geology, University of Wyoming 30(1):85-90"
Chipetaia lamporea,species,NA,Chipetaia lamporea,species,46.2,40.4,Omomyidae,Chipetaia,-109.26667,40.083332,"D. T. Rasmussen. 1996. A new Middle Eocene omomyine primate from the Uinta Basin, Utah. Journal of Human Evolution 31"
Chiromyoides minor,species,NA,Chiromyoides minor,species,61.7,56.8,Plesiadapidae,Chiromyoides,-110.699997,41.799999,"P. D. Gingerich and J. A. Dorr, Jr. 1979. Mandible of Chiromyoides minor (Mammalia, Primates) from the Upper Paleocene Chappo Member of the Wasatch Formation, Wyoming. Journal of Paleontology 53(3)"
Chiromyoides,genus,NA,Chiromyoides,genus,63.3,61.7,Plesiadapidae,Chiromyoides,-103.199997,29.200001,"J. A. Schiebout. 1974. Vertebrate paleontology and paleoecology of Paleocene Black Peaks Formation, Big Bend National Park, Texas. Texas Memorial Museum Bulletin 24:1-88"
Craseops sylvestris,species,NA,Craseops sylvestris,species,46.2,40.4,Microsyopidae,Craseops,-119,34.299999,"G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
Dyseolemur pacificus,species,NA,Dyseolemur pacificus,species,46.2,40.4,Omomyidae,Dyseolemur,-117.300003,33.220001,"D. T. Rasmussen, M. Shekelle, and S. L. Walsh, B. O. Riney. 1995. The dentition of Dyseolemur, and comments on the use of the anterior teeth in primate systematics. Journal of Human Evolution 29(4):301-320"
Elphidotarsius russelli,species,NA,Elphidotarsius russelli,species,61.7,56.8,Carpolestidae,Elphidotarsius,-109.800003,45.799999,"M. T. Silcox, D. W. Krause, and M. C. Maas, R. C. Fox. 2001. New specimens of Elphidotarsius russelli (Mammalia, ?Primates, Carpolestidae) and a revision of plesiadapoid relationships. Journal of Vertebrate Paleontology 21(1):132-152"
