Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/taxa/list_doc.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data URL,"http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=primates&rank=species&show=class,ecospace,pres,ref,refattr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Time,Fri 2023-03-03 21:19:12 GMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base_name,primates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rank,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,show,"class,ecospace,pres,ref,refattr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elapsed Time,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Found,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Returned,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,ref_author,ref_pubyr,reference_no,is_extant,n_occs,phylum,class,order,family,genus,type_taxon,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,primary_reference
143120,143120,txn,,species,Azibius trerki,,143120,species,Azibius trerki,86717,Tabuce et al.,2004,29407,extinct,11,Chordata,Mammalia,Primates,Azibiidae,Azibius,,terrestrial,,actively mobile,arboreal,,omnivore,viviparous,,,"R. Tabuce, M. Mahboubi, and P. Tafforeau, J. Sudre. 2004. Discovery of a highly-specialized plesiadapiform primate in the early-middle Eocene of northwestern Africa. Journal of Human Evolution 47(5):305-321"
113510,113510,txn,,species,Tabelia hammadae,subjective synonym of,143120,species,Azibius trerki,86717,Godinot and Mahboubi,1994,26072,extinct,11,Chordata,Mammalia,Primates,Azibiidae,Azibius,,terrestrial,,actively mobile,arboreal,,omnivore,viviparous,,,"M. Godinot and M. Mahboubi. 1994. Les petits primates simiiformes de Glib Zegdou (Eocene inferieur a moyen d'Algerie). Comptes Rendus d'la Academie des Sciences, serie II 319:357-364"
