accepted_name,identified_name,identified_rank,difference.x,accepted_rank.x,max_ma,min_ma,family.x,genus.x,lng,lat,primary_reference.x,taxon_name,difference.y,accepted_rank.y,is_extant,family.y,genus.y,primary_reference.y
Absarokius abbotti,Absarokius abbotti,species,NA,species,NA,NA,Omomyidae,Absarokius,NA,NA,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",Absarokius abbotti,NA,species,extinct,Omomyidae,Absarokius,"W. D. Matthew. 1915. A revision of the Lower Eocene Wasatch and Wind River faunas. \r\nPart IV. - Entelonychia, Primates, Insectivora (part). Bulletin of the American Museum of Natural History 34(14):429-483"
Absarokius gazini,Absarokius gazini,species,NA,species,NA,NA,Omomyidae,Absarokius,NA,NA,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",Absarokius gazini,NA,species,extinct,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Absarokius metoecus,Absarokius metoecus,species,NA,species,NA,NA,Omomyidae,Absarokius,NA,NA,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162",Absarokius metoecus,NA,species,extinct,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Aegyptopithecus zeuxis,Aegyptopithecus zeuxis,species,NA,species,NA,NA,Propliopithecidae,Aegyptopithecus,NA,NA,"E. L. Simons. 1997. Preliminary description of the cranium of Proteopithecus sylviae, an Egyptian late Eocene anthropoidean primate. Proceedings of the National Academy of Sciences 94:14970-14975",Aegyptopithecus zeuxis,NA,species,extinct,Propliopithecidae,Aegyptopithecus,E. L. Simons. 1965. New fossil apes from Egypt and the initial differentiation of Hominoidea. Nature 205:135-139
Alouatta belzebul,Alouatta belzebul,species,NA,species,NA,NA,Atelidae,Alouatta,NA,NA,H. M. Pucciarelli and W. A. Neves. 1992. Reliability of intrafunctional indices for correcting size in cranial comparisons of New World primates. Ciéncia e Cultura 44(1):29-34,Alouatta belzebul,NA,species,extant,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30"
Alouatta caraya,Alouatta caraya,species,NA,species,NA,NA,Atelidae,Alouatta,NA,NA,"M. S. Bargo, S. F. Vizcaíno, and F. M. Archuby, R. E. Blanco. 2000. Limb bone proportions, strength and digging in some Lujanian (Late Pleistocene-Early Holocene) mylodontid ground sloths (Mammalia, Xenarthra). Journal of Vertebrate Paleontology 20(3):601-610",Alouatta caraya,NA,species,extant,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30"
Alouatta palliatus,Alouatta palliata,species,recombined as,species,NA,NA,Atelidae,Alouatta,NA,NA,A. H. Schultz. 1926. Studies on the variability of platyrrhine monkeys. Journal of Mammalogy 7(4):286-305,Alouatta palliatus,NA,species,extant,Atelidae,Alouatta,J.E. Gray. 1849. Description of two species of Mammalia from Caracas. Proceedings of the Zoological Society of London 17:138-138
Alouatta seniculus,Mycetes seniculus,species,recombined as,species,NA,NA,Atelidae,Alouatta,NA,NA,St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429,Alouatta seniculus,NA,species,extant,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30"
Alveojunctus minutus,Alveojunctus minutus,species,NA,species,NA,NA,Picromomyidae,Alveojunctus,NA,NA,"T. M. Bown. 1982. Geology, Paleontology, and Correlation of Eocene Volcaniclastic Rocks, Southeast Absaroka Range, Hot Springs County, Wyoming. United States Geological Survey Professional Paper 1201-A:A1-A75",Alveojunctus minutus,NA,species,extinct,Picromomyidae,Alveojunctus,"T. M. Bown. 1982. Geology, Paleontology, and Correlation of Eocene Volcaniclastic Rocks, Southeast Absaroka Range, Hot Springs County, Wyoming. United States Geological Survey Professional Paper 1201-A:A1-A75"
Anaptomorphus aemulus,Anaptomorphus aemulus,species,NA,species,NA,NA,Omomyidae,Anaptomorphus,NA,NA,C. L. Gazin. 1958. A review of the middle and upper Eocene primates of North America. Smithsonian Miscellaneous Collections 136(1):1-112,Anaptomorphus wortmani,subjective synonym of,species,extinct,Omomyidae,Anaptomorphus,C. L. Gazin. 1958. A review of the middle and upper Eocene primates of North America. Smithsonian Miscellaneous Collections 136(1):1-112
