accepted_name,suborder,infraorder,family ,citation
Sulaimanius arifi ,strepshrrhini ,adapiformes ,,"Gunnell et al., 2008"
Bugtilemur mathesoni ,strepshrrhini ,adapiformes ,,"Marivaux et al., 2001"
Ekgmowechashala philotau ,strepshrrhini ,adapiformes ,,"Macdonald, 1963"
Ekgmowechashala zancanellai ,strepshrrhini ,adapiformes ,,"Samuels, Albright & Fremd, 2015"
Gatanthropus micros ,strepshrrhini ,adapiformes ,,"Ni et al., 2016"
Muangthanhinius siami ,strepshrrhini ,adapiformes ,,"Marivaux et al., 2006"
Cantius abditus ,strepshrrhini ,adapiformes ,notharctidae,"Gingerich & Simmons, 1977"
Cantius angulatus,strepshrrhini ,adapiformes ,notharctidae,"Cope, 1875"
Cantius antediluvius,strepshrrhini ,adapiformes ,notharctidae,"Kihm, 1992"
Cantius eppsi ,strepshrrhini ,adapiformes ,notharctidae,"Cooper, 1932"
Cantius frugivorus  ,strepshrrhini ,adapiformes ,notharctidae,"Cope, 1875"
Cantius lohseorum ,strepshrrhini ,adapiformes ,notharctidae,"Robinson, 2016"
Cantius mckennai ,strepshrrhini ,adapiformes ,notharctidae,"Gingerich & Simons, 1977"
Cantius nuniensis,strepshrrhini ,adapiformes ,notharctidae,"Cope, 1881"
Cantius ralstoni,strepshrrhini ,adapiformes ,notharctidae,"Matthew, 1915"
Cantius savagei ,strepshrrhini ,adapiformes ,notharctidae,"Gingerich, 1977"
Cantius torresi ,strepshrrhini ,adapiformes ,notharctidae,"Gingerich, 1986"
Copelemur australotutus,strepshrrhini ,adapiformes ,notharctidae,"Beard, 1988"
Copelemur praetutus,strepshrrhini ,adapiformes ,notharctidae,"Gazin, 1962"
Copelemur tutus,strepshrrhini ,adapiformes ,notharctidae,"Cope, 1877"
Hesperolemur actius,strepshrrhini ,adapiformes ,notharctidae,"Gunnell, 1995"
Megaceralemur trigonodus,strepshrrhini ,adapiformes ,notharctidae,"Matthew, 1915"
Megaceralemur matthewi ,strepshrrhini ,adapiformes ,notharctidae,"Robinson, 2016"
Notharctus pugnax,strepshrrhini ,adapiformes ,notharctidae,"Granger & Gregory, 1917"
Notharctus robustior,strepshrrhini ,adapiformes ,notharctidae,"Leidy, 1870"
Notharctus tenebrosus ,strepshrrhini ,adapiformes ,notharctidae,"Leidy, 1870"
Notharctus venticolus,strepshrrhini ,adapiformes ,notharctidae,"Osborn, 1902"
Pelycodus danielsae,strepshrrhini ,adapiformes ,notharctidae,"Froehlich & Lucas, 1991"
Pelycodus jarrovii ,strepshrrhini ,adapiformes ,notharctidae,"Cope, 1874"
Pinolophus meikei ,strepshrrhini ,adapiformes ,notharctidae,"Robinson, 2016"
Smilodectes gingerichi ,strepshrrhini ,adapiformes ,notharctidae,"Beard, 1988"
Smilodectes gracilis ,strepshrrhini ,adapiformes ,notharctidae,"Marsh, 1871"
Smilodectes mcgrewi ,strepshrrhini ,adapiformes ,notharctidae,"Gingerich, 1979"
Agerinia marandati,strepshrrhini ,adapiformes ,notharctidae,"Femenias-Gual, Minwer-Barakat, Marigó, Poyatos-Moré, and Moyà-Solà, 2017"
Agerinia roselli ,strepshrrhini ,adapiformes ,notharctidae,"Crusafont-Pairo & Golpe-Posse, 1973"
Agerinia smithorum,strepshrrhini ,adapiformes ,notharctidae,"Femenias-Gual, Minwer-Barakat, Marigó, and Moyà-Solà, 2016"
Anchomomys crocheti ,strepshrrhini ,adapiformes ,notharctidae,"Godinot, 1988"
Anchomomys gaillardi,strepshrrhini ,adapiformes ,notharctidae,"Stehlin, 1916"
Anchomomys pygmaeus ,strepshrrhini ,adapiformes ,notharctidae,"Rütimeyer, 1890"
Anchomomys quercy,strepshrrhini ,adapiformes ,notharctidae,"Stehlin, 1916"
Barnesia hauboldi ,strepshrrhini ,adapiformes ,notharctidae,"Thalmann, 1994"
Buxella magna,strepshrrhini ,adapiformes ,notharctidae,"Godinot, 1988"
Buxella prisca,strepshrrhini ,adapiformes ,notharctidae,"Godinot, 1988"
Donrussellia gallica ,strepshrrhini ,adapiformes ,notharctidae,"Russell, Louis & Savage, 1967"
Donrussellia louisi,strepshrrhini ,adapiformes ,notharctidae,"Szalay, 1976"
Donrussellia magna,strepshrrhini ,adapiformes ,notharctidae,"Szalay, 1976"
Donrussellia provincialis,strepshrrhini ,adapiformes ,notharctidae,"Szalay, 1976"
Donrussellia russelli,strepshrrhini ,adapiformes ,notharctidae,"Szalay, 1976"
Mazateronodon endemicus,strepshrrhini ,adapiformes ,notharctidae,"Marigó, Minwer-Barakat, & Moyà-Solà, 2010"
Panobius afridi,strepshrrhini ,adapiformes ,notharctidae,"Russell & Gingerich, 1987"
Periconodon helleri ,strepshrrhini ,adapiformes ,notharctidae,"Schwartz et al., 1983"
Periconodon helveticus,strepshrrhini ,adapiformes ,notharctidae,"Rütimeyer, 1891"
Periconodon huerzeleri ,strepshrrhini ,adapiformes ,notharctidae,"Gingerich, 1977"
Periconodon jaegeri,strepshrrhini ,adapiformes ,notharctidae,"Godinot, 1988"
Periconodon lemoinei ,strepshrrhini ,adapiformes ,notharctidae,"Gingerich, 1977"
Protoadapis angustidens ,strepshrrhini ,adapiformes ,notharctidae,"Filhol, 1888"
Protoadapis brachyrhynchus,strepshrrhini ,adapiformes ,notharctidae,"Stehlin, 1912"
Protoadapis curvicuspidens,strepshrrhini ,adapiformes ,notharctidae,"Lemoine, 1878"
Protoadapis ignoratus ,strepshrrhini ,adapiformes ,notharctidae,"Thalmann, 1994"
Protoadapis muechelnensis ,strepshrrhini ,adapiformes ,notharctidae,"Thalmann, 1994"
Protoadapis recticuspidens,strepshrrhini ,adapiformes ,notharctidae,"Lemoine, 1878"
Protoadapis weigelti ,strepshrrhini ,adapiformes ,notharctidae,"Gingerich, 1977"
Pronycticebus gaudryi,strepshrrhini ,adapiformes ,notharctidae,"Grandidier, 1904"
Pronycticebus neglectus ,strepshrrhini ,adapiformes ,notharctidae,"Thalmann et al., 1989"
Anthrasimias gujaratensis ,strepshrrhini ,adapiformes ,notharctidae,"Bajpai et al., 2008"
Asiadapis cambayensis ,strepshrrhini ,adapiformes ,notharctidae,"Rose et al., 2007"
Asiadapis tapiensis,strepshrrhini ,adapiformes ,notharctidae,"Rose et al., 2018"
Marcgodinotius indicus,strepshrrhini ,adapiformes ,notharctidae,"Bajpai et al., 2005"
Adapis bruni,strepshrrhini ,adapiformes ,adapidae ,"Cuvier, 1821"
Adapis collinsonae,strepshrrhini ,adapiformes ,adapidae ,"Hooker, 1986"
Adapis parisiensis,strepshrrhini ,adapiformes ,adapidae ,"de Blainville, 1841"
Adapis sudrei ,strepshrrhini ,adapiformes ,adapidae ,"Gingerich, 1977"
Cryptadapis laharpei ,strepshrrhini ,adapiformes ,adapidae ,"Godinot, 1984"
Cryptadapis tertius ,strepshrrhini ,adapiformes ,adapidae ,"Godinot, 1984"
Leptadapis assolicus,strepshrrhini ,adapiformes ,adapidae ,"Gervais, 1876"
Leptadapis filholi ,strepshrrhini ,adapiformes ,adapidae ,"Godinot & Couette, 2008"
Leptadapis capellae,strepshrrhini ,adapiformes ,adapidae ,"Crusafont-Pairo, 1967"
Leptadapis leenhardti ,strepshrrhini ,adapiformes ,adapidae ,"Stehlin, 1912"
Leptadapis magnus,strepshrrhini ,adapiformes ,adapidae ,"Filhol, 1874"
Leptadapis ruetimeyeri ,strepshrrhini ,adapiformes ,adapidae ,"Stehlin, 1912"
Magnadapis quercyi ,strepshrrhini ,adapiformes ,adapidae ,"Godinot & Couette, 2008"
Magnadapis fredi ,strepshrrhini ,adapiformes ,adapidae ,"Godinot & Couette, 2008"
Magnadapis laurenceae ,strepshrrhini ,adapiformes ,adapidae ,"Godinot & Couette, 2008"
