specimen_no,is_type,accepted_name,accepted_no,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
3,,Absarokius abbotti,44019,,,1123,,,,,,,,,
4,holotype,Artimonius australis,43688,,,1123,,,,,,,,,
5,,Artimonius australis,43688,,,1123,,,,,,,,,
6,holotype,Absarokius gazini,43689,,,1123,,,,,,,,,
7,,Absarokius gazini,43689,,,1123,,,,,,,,,
8,,Absarokius gazini,43689,,,1123,,,,,,,,,
9,,Absarokius metoecus,43691,,,1123,,,,,,,,,
10,holotype,Artimonius nocerai,43692,,,1123,,,,,,,,,
17,holotype,Acidomomys hebeticus,43719,56.8,55.8,6716,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Clark's Fork Basin
63,holotype,Ageitodendron matthewi,43807,50.3,46.2,1732,-110.5,41.200001,US,Wyoming,Uinta,based on political unit,1,small collection,
130,,Alveojunctus minutus,43951,,,1115,,,,,,,,,
161,,Anaptomorphus aemulus,44020,,,1613,,,,,,,,,
162,,Anaptomorphus westi,44026,,,1732,,,,,,,,,
163,,Anaptomorphus westi,44026,,,7527,,,,,,,,,
164,,Anaptomorphus aemulus,44020,,,1613,,,,,,,,,
171,holotype,Anemorhysis natronensis,44086,,,8850,,,,,,,,,
172,holotype,Anemorhysis pattersoni,44087,,,1122,,,,,,,,,
173,,Anemorhysis pattersoni,44087,,,1123,,,,,,,,,
174,holotype,Tetonoides pearcei,52200,,,1122,,,,,,,,,
175,holotype,Anemorhysis sublettensis,49953,,,1122,,,,,,,,,
176,,Teilhardina tenuicula,52196,,,3353,,,,,,,,,
177,holotype,Anemorhysis wortmani,44091,,,1122,,,,,,,,,
178,,Anemorhysis wortmani,44091,,,1123,,,,,,,,,
179,,Anemorhysis wortmani,44091,55.8,46.2,3806,-110.699997,41.799999,US,Wyoming,Lincoln,based on political unit,1,small collection,
221,holotype,Smilodectes gracilis,47166,,,1698,,,,,,,,,
244,,Arapahovius advena,44206,55.8,50.3,2959,-108,44,US,Wyoming,Washakie,based on political unit,1,small collection,
274,,Arctodontomys nuptus,49751,,,1728,,,,,,,,,
275,,Arctodontomys simplicidens,48558,,,1728,,,,,,,,,
276,,Arctodontomys wilsoni,48565,55.8,50.3,1728,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Clark's Fork Basin
277,,Arctodontomys wilsoni,48565,,,1657,,,,,,,,,
296,,Artimonius nocerai,43692,,,7527,,,,,,,,,
297,,Artimonius witteri,43694,,,7527,,,,,,,,,
298,,Artimonius witteri,43694,,,7527,,,,,,,,,
319,,Aycrossia lovei,44399,,,1123,,,,,,,,,
533,,Cantius abditus,50080,,,2977,,,,,,,,,
534,holotype,Cantius angulatus,50081,,,1036,,,,,,,,,
535,,Cantius angulatus,50081,,,1036,,,,,,,,,
536,,Cantius frugivorus,50083,,,1036,,,,,,,,,
537,,Cantius mckennai,50085,,,1333,,,,,,,,,
538,,Cantius nunienus,50086,,,7526,,,,,,,,,
539,,Cantius nunienus,50086,,,7526,,,,,,,,,
540,holotype,Cantius simonsi,44900,,,7526,,,,,,,,,
541,,Cantius torresi,44901,,,1663,,,,,,,,,
542,,Cantius torresi,44901,55.8,50.3,1663,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,
551,holotype,Carpodaptes rosei,44944,61.7,56.8,1039,-108.199997,43.200001,US,Wyoming,Fremont,based on political unit,1,,Bison Basin
555,holotype,Carpodaptes aulacodon,44937,61.7,56.8,3139,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
556,,Carpodaptes stonleyi,44945,58.7,55.8,3870,-108.301559,44.65723,US,Wyoming,Big Horn,estimated from map,5,small collection,"North Emblem Reservoir Quadrangle, 54N, 95W, Sect. 16"
557,,Carpodaptes cygneus,44947,61.7,56.8,7175,-115.4627,54.801998,CA,Alberta,,stated in text,3,small collection,"LSD 4, Sec 16, T 67, R 10, W of 5th meridian; S side of main road N from Swan Hills town; this part (3) is on the N side, across a swampy area"
558,holotype,Carpodaptes hazelae,44940,61.7,56.8,3145,-109.800003,45.799999,US,Montana,Sweetgrass,based on political unit,1,small collection,Crazy Mountain Basin
