County Number,County Name,FIPS Code,,
1,Adair,001,,
2,Adams,003,,
3,Allamakee,005,,
4,Appanoose,007,,
5,Audubon,009,,
6,Benton,011,,
7,Black Hawk,013,,
8,Boone,015,,
9,Bremer,017,,
10,Buchanan,019,,
11,Buena Vista,021,,
12,Butler,023,,
13,Calhoun,025,,
14,Carroll,027,,
15,Cass,029,,
16,Cedar,031,,
17,Cerro Gordo,033,,
18,Cherokee,035,,
19,Chickasaw,037,,
20,Clarke,039,,
21,Clay,041,,
22,Clayton,043,,
23,Clinton,045,,
24,Crawford,047,,
25,Dallas,049,,
26,Davis,051,,
27,Decatur,053,,
28,Delaware,055,,
29,Des Moines,057,,
30,Dickinson,059,,
31,Dubuque,061,,
32,Emmet,063,,
33,Fayette,065,,
34,Floyd,067,,
35,Franklin,069,,
36,Fremont,071,,
37,Greene,073,,
38,Grundy,075,,
39,Guthrie,077,,
40,Hamilton,079,,
41,Hancock,081,,
42,Hardin,083,,
43,Harrison,085,,
44,Henry,087,,
45,Howard,089,,
46,Humboldt,091,,
47,Ida,093,,
48,Iowa,095,,
49,Jackson,097,,
50,Jasper,099,,
51,Jefferson,101,,
52,Johnson,103,,
53,Jones,105,,
54,Keokuk,107,,
55,Kossuth,109,,
56,Lee,111,,
57,Linn,113,,
58,Louisa,115,,
59,Lucas,117,,
60,Lyon,119,,
61,Madison,121,,
62,Mahaska,123,,
63,Marion,125,,
64,Marshall,127,,
65,Mills,129,,
66,Mitchell,131,,
67,Monona,133,,
68,Monroe,135,,
69,Montgomery,137,,
70,Muscatine,139,,
71,O'Brien,141,,
72,Osceola,143,,
73,Page,145,,
74,Palo Alto,147,,
75,Plymouth,149,,
76,Pocahontas,151,,
77,Polk,153,,
78,Pottawattamie,155,,
79,Poweshiek,157,,
80,Ringgold,159,,
81,Sac,161,,
82,Scott,163,,
83,Shelby,165,,
84,Sioux,167,,
85,Story,169,,
86,Tama,171,,
87,Taylor,173,,
88,Union,175,,
89,Van Buren,177,,
90,Wapello,179,,
91,Warren,181,,
92,Washington,183,,
93,Wayne,185,,
94,Webster,187,,
95,Winnebago,189,,
96,Winneshiek,191,,
97,Woodbury,193,,
98,Worth,195,,
99,Wright,197,,
