district,Grad Year,N,Avg Math,Avg Sci,Avg Comp
ADEL-DE SOTO-MINBURN CMTY SD,2017,82,23.1,23.5,23.3
ADEL-DE SOTO-MINBURN CMTY SD,2018,91,23.5,23.8,24.4
ADEL-DE SOTO-MINBURN CMTY SD,2019,73,22.8,22.7,22.5
ADEL-DE SOTO-MINBURN CMTY SD,2020,79,23.1,23.3,23.3
ADEL-DE SOTO-MINBURN CMTY SD,2021,64,23.3,22.0,23.1
AGWSR CMTY SCHOOL DISTRICT,2017,35,20.8,21.9,21.3
AGWSR CMTY SCHOOL DISTRICT,2018,38,20.8,21.3,20.9
AGWSR CMTY SCHOOL DISTRICT,2019,32,19.7,20.3,20.8
AGWSR CMTY SCHOOL DISTRICT,2020,21,19.1,20.7,20.9
AGWSR CMTY SCHOOL DISTRICT,2021,25,21.0,22.0,21.5
AHSTW CMTY SCHOOL DISTRICT,2017,33,22.1,22.6,22.5
AHSTW CMTY SCHOOL DISTRICT,2018,42,21.9,22.5,22.1
AHSTW CMTY SCHOOL DISTRICT,2019,23,20.3,20.7,19.9
AHSTW CMTY SCHOOL DISTRICT,2020,31,20.0,21.3,20.9
AHSTW CMTY SCHOOL DISTRICT,2021,20,22.7,23.6,24.4
AKRON WESTFIELD CMTY SCH DIST,2017,39,21.3,22.1,21.8
AKRON WESTFIELD CMTY SCH DIST,2018,24,21.3,22.3,21.8
AKRON WESTFIELD CMTY SCH DIST,2019,23,21.3,22.8,21.8
AKRON WESTFIELD CMTY SCH DIST,2020,32,21.1,21.3,21.1
AKRON WESTFIELD CMTY SCH DIST,2021,18,20.4,21.7,21.3
ALBIA CMTY SCHOOL DISTRICT,2017,53,18.7,19.7,19.9
ALBIA CMTY SCHOOL DISTRICT,2018,46,21.1,22.0,22.3
ALBIA CMTY SCHOOL DISTRICT,2019,40,20.2,19.6,20.4
ALBIA CMTY SCHOOL DISTRICT,2020,31,21.6,22.5,21.8
ALBIA CMTY SCHOOL DISTRICT,2021,26,20.8,21.3,20.6
ALBURNETT CMTY SCHOOL DISTRICT,2017,25,21.6,22.0,22.2
ALBURNETT CMTY SCHOOL DISTRICT,2018,32,22.1,23.6,23.3
ALBURNETT CMTY SCHOOL DISTRICT,2019,34,21.9,21.9,21.9
ALBURNETT CMTY SCHOOL DISTRICT,2020,27,20.5,23.1,22.6
ALBURNETT CMTY SCHOOL DISTRICT,2021,21,19.0,22.0,20.0
ALGONA CMTY SCHOOL DISTRICT,2017,52,20.5,22.1,21.5
ALGONA CMTY SCHOOL DISTRICT,2018,67,21.2,22.7,22.1
ALGONA CMTY SCHOOL DISTRICT,2019,63,20.6,22.2,21.6
ALGONA CMTY SCHOOL DISTRICT,2020,61,20.8,22.2,21.4
ALGONA CMTY SCHOOL DISTRICT,2021,40,20.1,22.4,21.6
ALLAMAKEE CMTY SCHOOL DISTRICT,2017,62,20.8,22.1,21.6
ALLAMAKEE CMTY SCHOOL DISTRICT,2018,42,21.3,22.5,22.2
ALLAMAKEE CMTY SCHOOL DISTRICT,2019,43,21.7,22.9,22.4
ALLAMAKEE CMTY SCHOOL DISTRICT,2020,40,21.7,22.6,22.0
ALLAMAKEE CMTY SCHOOL DISTRICT,2021,37,21.5,22.3,21.7
ALTA-AURELIA CMTY SCHOOLS,2017,28,20.5,21.0,21.1
ALTA-AURELIA CMTY SCHOOLS,2018,35,20.7,21.2,21.5
ALTA-AURELIA CMTY SCHOOLS,2019,24,21.6,22.2,22.2
ALTA-AURELIA CMTY SCHOOLS,2020,28,20.1,21.0,20.7
ALTA-AURELIA CMTY SCHOOLS,2021,23,19.2,21.7,20.7
AMES CMTY SCHOOL DISTRICT,2017,214,24.9,25.0,25.2
AMES CMTY SCHOOL DISTRICT,2018,202,25.2,24.7,25.2
AMES CMTY SCHOOL DISTRICT,2019,228,24.7,24.0,24.7
AMES CMTY SCHOOL DISTRICT,2020,193,24.5,24.9,25.4
AMES CMTY SCHOOL DISTRICT,2021,137,23.8,24.1,24.8
ANAMOSA CMTY SCHOOL DISTRICT,2017,43,20.6,20.1,20.5
ANAMOSA CMTY SCHOOL DISTRICT,2018,50,20.5,21.0,21.5
ANAMOSA CMTY SCHOOL DISTRICT,2019,45,21.4,21.3,21.6
ANAMOSA CMTY SCHOOL DISTRICT,2020,50,21.2,20.4,21.7
ANAMOSA CMTY SCHOOL DISTRICT,2021,36,19.8,21.4,20.6
ANKENY CMTY SCHOOL DISTRICT,2017,518,23.2,23.4,23.5
ANKENY CMTY SCHOOL DISTRICT,2018,689,22.3,22.2,22.2
ANKENY CMTY SCHOOL DISTRICT,2019,540,23.1,23.4,23.3
ANKENY CMTY SCHOOL DISTRICT,2020,554,23.8,23.9,24.1
ANKENY CMTY SCHOOL DISTRICT,2021,471,23.3,23.8,23.7
APLINGTON-PARKERSBURG SD,2017,43,18.6,20.5,20.0
APLINGTON-PARKERSBURG SD,2018,43,20.6,21.9,21.8
APLINGTON-PARKERSBURG SD,2019,31,20.6,21.3,21.0
APLINGTON-PARKERSBURG SD,2020,34,20.1,21.8,21.3
APLINGTON-PARKERSBURG SD,2021,20,18.8,21.8,20.6
AR-WE-VA CMTY SCHOOL DISTRICT,2017,13,22.9,21.8,22.2
AR-WE-VA CMTY SCHOOL DISTRICT,2018,Small  N ,Small  N ,Small  N ,Small  N 
AR-WE-VA CMTY SCHOOL DISTRICT,2019,Small  N ,Small  N ,Small  N ,Small  N 
