FIPS,Areaname,Population 25 years and over,Less than 9th grade %,"9th to 12th grade, no diploma %",High school graduate (includes equivalency) %,"Some college, no degree %",Associate's degree %,Bachelor's degree %,Graduate or professional degree %,"Subtotal, high school graduate or higher %","Subtotal, bachelor's degree or higher %"
19001,Adair,"5,438",3.4,5.9,43,19.5,11.9,12.9,3.4,90.7,16.3
19003,Adams,"2,876",4.5,5.2,39.3,23.1,14.3,10.1,3.7,90.4,13.7
19005,Allamakee,"10,012",5.7,5.2,43.8,21.3,9,11,3.9,89,14.9
19007,Appanoose,"9,040",4.8,7,38,21.4,10.6,13.1,5.1,88.3,18.3
19009,Audubon,"4,356",4.1,5.7,41.2,21.3,11.2,12.8,3.8,90.3,16.6
19011,Benton,"17,617",2.5,5.6,38,22.6,12.6,14.6,4.2,91.9,18.8
19013,Black Hawk,"82,367",3.7,6.8,34.2,19.9,10,16.9,8.4,89.5,25.3
19015,Boone,"18,124",1.9,6,36.5,23.6,11.6,15.2,5.1,92,20.3
19017,Bremer,"15,943",2.7,3.5,34.2,19.4,11.9,20.1,8.2,93.8,28.3
19019,Buchanan,"13,850",4.3,5.1,43.3,18.2,11.9,12.6,4.6,90.6,17.1
19021,Buena Vista,"12,862",11.3,10,30.7,20.8,7.3,14.1,5.9,78.7,20
19023,Butler,"10,454",4.2,5,43,20.2,12.8,11.8,3.2,90.9,15
19025,Calhoun,"7,202",3.8,5.7,36.4,23.3,11.7,14.1,5,90.5,19.1
19027,Carroll,"14,215",4.6,4.1,42.1,19.5,11,14.7,4.1,91.3,18.8
19029,Cass,"9,706",2.3,4.9,44.3,20.7,8.9,13.9,5.1,92.8,19
19031,Cedar,"12,869",2.4,5.5,39.6,20.7,12.2,13.9,5.7,92.1,19.5
19033,Cerro Gordo,"31,114",2.8,5.2,31.7,23.5,15.7,15.1,5.9,92,21
19035,Cherokee,"8,613",2.8,5.7,37.3,23.6,11.1,15,4.5,91.6,19.6
19037,Chickasaw,"8,588",5,6.2,45.5,19.3,10.2,10,3.8,88.8,13.8
19039,Clarke,"6,253",6.7,6,46,18.9,8.1,10.6,3.7,87.3,14.3
19041,Clay,"11,650",1.8,5,38.1,22.4,14.1,14.8,3.7,93.1,18.4
