year,fips,pop2010,pop2023,name,ctyname,slug,landArea,density,StatePercentage,StateRank,densityMi,area
2023,19153,430640,510929,Polk County,Polk County,polk-county-ia,574,890.1202090592340,0.1580079082969080,1,890.1202090592340,574
2023,19113,211226,236020,Linn County,Linn County,linn-county-ia,717,329.1771269177130,0.07299062397365630,2,329.1771269177130,717
2023,19163,165224,177501,Scott County,Scott County,scott-county-ia,458,387.55676855895200,0.054893266443301300,3,387.55676855895200,458
2023,19103,130882,159445,Johnson County,Johnson County,johnson-county-ia,614,259.6824104234530,0.04930933835895110,4,259.6824104234530,614
2023,19013,131090,131159,Black Hawk County,Black Hawk County,black-hawk-county-ia,566,231.7296819787990,0.040561720404036900,5,231.7296819787990,566
2023,19049,66135,109740,Dallas County,Dallas County,dallas-county-ia,588,186.6326530612250,0.03393776406604970,6,186.6326530612250,588
2023,19193,102172,107072,Woodbury County,Woodbury County,woodbury-county-ia,873,122.6483390607100,0.033112668799709100,7,122.6483390607100,873
2023,19169,89542,101237,Story County,Story County,story-county-ia,573,176.67888307155300,0.03130815947471000,8,176.67888307155300,573
2023,19061,93653,100949,Dubuque County,Dubuque County,dubuque-county-ia,608,166.03453947368400,0.03121909371882310,9,166.03453947368400,608
2023,19155,93158,93820,Pottawattamie County,Pottawattamie County,pottawattamie-county-ia,951,98.65404837013670,0.029014407004526900,10,98.65404837013670,951
2023,19181,46225,54257,Warren County,Warren County,warren-county-ia,570,95.18771929824560,0.016779308045668500,11,95.18771929824560,570
2023,19045,49116,45662,Clinton County,Clinton County,clinton-county-ia,695,65.70071942446040,0.014121251893420500,12,65.70071942446040,695
2023,19139,42745,43382,Muscatine County,Muscatine County,muscatine-county-ia,437,99.27231121281460,0.013416147992649600,13,99.27231121281460,437
2023,19033,44151,42821,Cerro Gordo County,Cerro Gordo County,cerro-gordo-county-ia,568,75.38908450704230,0.013242655322328400,14,75.38908450704230,568
2023,19127,40648,39943,Marshall County,Marshall County,marshall-county-ia,573,69.70855148342060,0.012352616275653600,15,69.70855148342060,573
2023,19057,40325,38484,Des Moines County,Des Moines County,des-moines-county-ia,416,92.50961538461540,0.011901411630379600,16,92.50961538461540,416
2023,19099,36842,38104,Jasper County,Jasper County,jasper-county-ia,730,52.1972602739726,0.011783894313584400,17,52.1972602739726,730
2023,19187,38013,36696,Webster County,Webster County,webster-county-ia,716,51.25139664804470,0.011348461729248800,18,51.25139664804470,716
2023,19167,33704,36523,Sioux County,Sioux County,sioux-county-ia,768,47.555989583333300,0.01129496042449730,19,47.555989583333300,768
2023,19179,35625,35380,Wapello County,Wapello County,wapello-county-ia,432,81.89814814814820,0.010941480705821400,20,81.89814814814820,432
2023,19125,33309,33444,Marion County,Marion County,marion-county-ia,555,60.25945945945950,0.01034276090235980,21,60.25945945945950,555
2023,19111,35862,32862,Lee County,Lee County,lee-county-ia,518,63.44015444015440,0.010162773854005100,22,63.44015444015440,518
2023,19015,26306,26838,Boone County,Boone County,boone-county-ia,572,46.91958041958040,0.008299815126705320,23,46.91958041958040,572
2023,19149,24986,25911,Plymouth County,Plymouth County,plymouth-county-ia,863,30.02433371958290,0.008013134724944540,24,30.02433371958290,863
2023,19011,26076,25425,Benton County,Benton County,benton-county-ia,716,35.50977653631290,0.007862836261885490,25,35.50977653631290,716
2023,19017,24276,25201,Bremer County,Bremer County,bremer-county-ia,435,57.93333333333330,0.007793562896195720,26,57.93333333333330,435
2023,19183,21704,22823,Washington County,Washington County,washington-county-ia,569,40.110720562390200,0.007058151897935590,27,40.110720562390200,569
2023,19123,22381,22133,Mahaska County,Mahaska County,mahaska-county-ia,571,38.76182136602450,0.00684476519112336,28,38.76182136602450,571
2023,19021,20260,20991,Buena Vista County,Buena Vista County,buena-vista-county-ia,575,36.50608695652170,0.006491594728544280,29,36.50608695652170,575
2023,19027,20816,20742,Carroll County,Carroll County,carroll-county-ia,569,36.45342706502640,0.006414589960433780,30,36.45342706502640,569
2023,19105,20638,20649,Jones County,Jones County,jones-county-ia,576,35.848958333333300,0.006385829143428650,31,35.848958333333300,576
2023,19087,20145,20584,Henry County,Henry County,henry-county-ia,434,47.42857142857140,0.006365727497134740,32,47.42857142857140,434
2023,19019,20958,20448,Buchanan County,Buchanan County,buchanan-county-ia,571,35.8108581436077,0.006323668667965950,33,35.8108581436077,571
2023,19191,21056,19773,Winneshiek County,Winneshiek County,winneshiek-county-ia,690,28.656521739130400,0.006114920802606160,34,28.656521739130400,690
2023,19097,19848,19377,Jackson County,Jackson County,jackson-county-ia,636,30.46698113207550,0.005992455388261750,35,30.46698113207550,636
2023,19065,20880,19098,Fayette County,Fayette County,fayette-county-ia,731,26.125854993160100,0.005906172937246370,36,26.125854993160100,731
2023,19157,18914,18587,Poweshiek County,Poweshiek County,poweshiek-county-ia,585,31.772649572649600,0.005748143071766590,37,31.772649572649600,585
2023,19031,18499,18508,Cedar County,Cedar County,cedar-county-ia,579,31.96545768566490,0.005723711840117070,38,31.96545768566490,579
2023,19059,16667,18015,Dickinson County,Dickinson County,dickinson-county-ia,381,47.28346456692910,0.005571248584380220,39,47.28346456692910,381
2023,19055,17764,17404,Delaware County,Delaware County,delaware-county-ia,578,30.110726643598600,0.005382293109217500,40,30.110726643598600,578
2023,19171,17767,16946,Tama County,Tama County,tama-county-ia,721,23.50346740638000,0.005240653816869670,41,23.50346740638000,721
2023,19121,15679,16809,Madison County,Madison County,madison-county-ia,561,29.962566844919800,0.0051982857316040600,42,29.962566844919800,561
2023,19095,16355,16755,Iowa County,Iowa County,iowa-county-ia,586,28.592150170648500,0.005181585902375270,43,28.592150170648500,586
