accepted_name,max_ma,min_ma,lng,lat,state,county
Acidomomys_hebeticus,56.8,55.8,-109,44.299999,Wyoming,Park
Ageitodendron_matthewi,50.3,46.2,-110.5,41.200001,Wyoming,Uinta
Anemorhysis_wortmani,55.8,46.2,-110.699997,41.799999,Wyoming,Lincoln
Arapahovius_advena,55.8,50.3,-108,44,Wyoming,Washakie
Arctodontomys_wilsoni,55.8,50.3,-109,44.299999,Wyoming,Park
Cantius_torresi,55.8,50.3,-109,44.299999,Wyoming,Park
Carpodaptes_rosei,61.7,56.8,-108.199997,43.200001,Wyoming,Fremont
Carpodaptes_aulacodon,61.7,56.8,-107.633331,37.116669,Colorado,La Plata
Carpodaptes_stonleyi,58.7,55.8,-108.301559,44.65723,Wyoming,Big Horn
Carpodaptes_cygneus,61.7,56.8,-115.4627,54.801998,Alberta,NA
Carpodaptes_hazelae,61.7,56.8,-109.800003,45.799999,Montana,Sweetgrass
Carpodaptes_stonleyi,61.7,56.8,-102.748001,49.063999,Saskatchewan,NA
Carpodaptes_jepseni,58.7,55.8,-108.301559,44.65723,Wyoming,Big Horn
Dryomomys_willwoodensis,55.8,50.3,-106.599998,44,Wyoming,Johnson
Chipetaia_lamporea,46.2,40.4,-109.26667,40.083332,Utah,Uintah
Chiromyoides_minor,61.7,56.8,-110.699997,41.799999,Wyoming,Lincoln
Chiromyoides,63.3,61.7,-103.199997,29.200001,Texas,Brewster
Craseops_sylvestris,46.2,40.4,-119,34.299999,California,Ventura
Dyseolemur_pacificus,46.2,40.4,-117.300003,33.220001,California,San Diego
Elphidotarsius_russelli,61.7,56.8,-109.800003,45.799999,Montana,Sweetgrass
Elphidotarsius_russelli,61.7,56.8,-109.900002,46.200001,Montana,Wheatland
Elphidotarsius_russelli,61.7,56.8,-114.433334,51.183334,Alberta,NA
Elwynella_oreas,50.3,46.2,-108.699997,43.700001,Wyoming,Hot Springs
Microsyops_speirianus,55.8,50.3,-106.599998,44,Wyoming,Johnson
Ignacius_frugivorus,61.7,56.8,-102.748001,49.063999,Saskatchewan,NA
Ignacius_frugivorus,61.7,56.8,-109,41.700001,Wyoming,Sweetwater
Jemezius_szalayi,55.8,50.3,-107,35.700001,New Mexico,Sandoval
Loveina_wapitiensis,55.8,50.3,-109,44.299999,Wyoming,Park
Macrotarsius_jepseni,46.2,40.4,-109.699997,40.066666,Utah,Uintah
Macrotarsius_montanus,40.4,37.2,-107.900002,50,Saskatchewan,NA
Foxomomys_fremdi,61.7,56.8,-113.76667,52.349998,Alberta,NA
Foxomomys_vossae,61.7,56.8,-102.748001,49.063999,Saskatchewan,NA
Microsyops_angustidens,55.8,50.3,-107,36.5,New Mexico,Rio Arriba
Microsyops_angustidens,55.8,50.3,-108,44,Wyoming,Washakie
Microsyops_annectens,50.3,46.2,-109,44.299999,Wyoming,Park
