accepted_name,max_ma,min_ma,lng,lat,state,county,genus
Acidomomys_hebeticus,56.8,55.8,-109,44.299999,Wyoming,Park,Acidomomys_hebeticus
Ageitodendron_matthewi,50.3,46.2,-110.5,41.200001,Wyoming,Uinta,Ageitodendron_matthewi
Anemorhysis_wortmani,55.8,46.2,-110.699997,41.799999,Wyoming,Lincoln,Anemorhysis_wortmani
Arapahovius_advena,55.8,50.3,-108,44,Wyoming,Washakie,Arapahovius_advena
Arctodontomys_wilsoni,55.8,50.3,-109,44.299999,Wyoming,Park,Arctodontomys_wilsoni
Cantius_torresi,55.8,50.3,-109,44.299999,Wyoming,Park,Cantius_torresi
Carpodaptes_rosei,61.7,56.8,-108.199997,43.200001,Wyoming,Fremont,Carpodaptes_rosei
Carpodaptes_aulacodon,61.7,56.8,-107.633331,37.116669,Colorado,La Plata,Carpodaptes_aulacodon
Carpodaptes_stonleyi,58.7,55.8,-108.301559,44.65723,Wyoming,Big Horn,Carpodaptes_stonleyi
Carpodaptes_cygneus,61.7,56.8,-115.4627,54.801998,Alberta,NA,Carpodaptes_cygneus
Carpodaptes_hazelae,61.7,56.8,-109.800003,45.799999,Montana,Sweetgrass,Carpodaptes_hazelae
Carpodaptes_stonleyi,61.7,56.8,-102.748001,49.063999,Saskatchewan,NA,Carpodaptes_stonleyi
Carpodaptes_jepseni,58.7,55.8,-108.301559,44.65723,Wyoming,Big Horn,Carpodaptes_jepseni
Dryomomys_willwoodensis,55.8,50.3,-106.599998,44,Wyoming,Johnson,Dryomomys_willwoodensis
Chipetaia_lamporea,46.2,40.4,-109.26667,40.083332,Utah,Uintah,Chipetaia_lamporea
Chiromyoides_minor,61.7,56.8,-110.699997,41.799999,Wyoming,Lincoln,Chiromyoides_minor
Chiromyoides,63.3,61.7,-103.199997,29.200001,Texas,Brewster,Chiromyoides
Craseops_sylvestris,46.2,40.4,-119,34.299999,California,Ventura,Craseops_sylvestris
Dyseolemur_pacificus,46.2,40.4,-117.300003,33.220001,California,San Diego,Dyseolemur_pacificus
Elphidotarsius_russelli,61.7,56.8,-109.800003,45.799999,Montana,Sweetgrass,Elphidotarsius_russelli
Elphidotarsius_russelli,61.7,56.8,-109.900002,46.200001,Montana,Wheatland,Elphidotarsius_russelli
Elphidotarsius_russelli,61.7,56.8,-114.433334,51.183334,Alberta,NA,Elphidotarsius_russelli
Elwynella_oreas,50.3,46.2,-108.699997,43.700001,Wyoming,Hot Springs,Elwynella_oreas
Microsyops_speirianus,55.8,50.3,-106.599998,44,Wyoming,Johnson,Microsyops_speirianus
Ignacius_frugivorus,61.7,56.8,-102.748001,49.063999,Saskatchewan,NA,Ignacius_frugivorus
Ignacius_frugivorus,61.7,56.8,-109,41.700001,Wyoming,Sweetwater,Ignacius_frugivorus
Jemezius_szalayi,55.8,50.3,-107,35.700001,New Mexico,Sandoval,Jemezius_szalayi
Loveina_wapitiensis,55.8,50.3,-109,44.299999,Wyoming,Park,Loveina_wapitiensis
Macrotarsius_jepseni,46.2,40.4,-109.699997,40.066666,Utah,Uintah,Macrotarsius_jepseni
Macrotarsius_montanus,40.4,37.2,-107.900002,50,Saskatchewan,NA,Macrotarsius_montanus
Foxomomys_fremdi,61.7,56.8,-113.76667,52.349998,Alberta,NA,Foxomomys_fremdi
Foxomomys_vossae,61.7,56.8,-102.748001,49.063999,Saskatchewan,NA,Foxomomys_vossae
Microsyops_angustidens,55.8,50.3,-107,36.5,New Mexico,Rio Arriba,Microsyops_angustidens
Microsyops_angustidens,55.8,50.3,-108,44,Wyoming,Washakie,Microsyops_angustidens
Microsyops_annectens,50.3,46.2,-109,44.299999,Wyoming,Park,Microsyops_annectens
Microsyops_latidens,55.8,50.3,-107,36.5,New Mexico,Rio Arriba,Microsyops_latidens
Arctodontomys_simplicidens,56.8,55.8,-109,44.299999,Wyoming,Park,Arctodontomys_simplicidens
Arctodontomys_wilsoni,55.8,50.3,-108.099998,40.599998,Colorado,Moffat,Arctodontomys_wilsoni
Tinimomys_graybulliensis,55.8,50.3,-106.599998,44,Wyoming,Johnson,Tinimomys_graybulliensis
Nannodectes_gazini,61.7,56.8,-108.1754,42.2869,Wyoming,Fremont,Nannodectes_gazini
Nannodectes_gidleyi,63.3,61.7,-103.199997,29.200001,Texas,Brewster,Nannodectes_gidleyi
Nannodectes_gidleyi,61.7,56.8,-107.633331,37.116669,Colorado,La Plata,Nannodectes_gidleyi
Nannodectes_intermedius,61.7,56.8,-109.159103,43.453602,Wyoming,Fremont,Nannodectes_intermedius
Nannodectes_intermedius,61.7,56.8,-110.5,45.799999,Montana,Park,Nannodectes_intermedius
Nannodectes_intermedius,61.7,56.8,-109.800003,45.799999,Montana,Sweetgrass,Nannodectes_intermedius
Nannodectes_simpsoni,61.7,56.8,-108.199997,43.200001,Wyoming,Fremont,Nannodectes_simpsoni
Navajovius_kohlhaasae,63.3,61.7,-103.153862,29.462648,Texas,Brewster,Navajovius_kohlhaasae
Navajovius_kohlhaasae,63.3,61.7,-103.199997,29.200001,Texas,Brewster,Navajovius_kohlhaasae
Notharctus_robinsoni,50.3,46.2,-110.325279,41.769169,Wyoming,Lincoln,Notharctus_robinsoni
Plesiolestes_problematicus,63.3,61.7,-107.735703,41.301399,Wyoming,Carbon,Plesiolestes_problematicus
Plesiolestes_problematicus,61.7,56.8,-110.5,45.799999,Montana,Park,Plesiolestes_problematicus
Palenochtha_minor,63.3,61.7,-108.349998,43.849998,Wyoming,Hot Springs/Washakie,Palenochtha_minor
Palenochtha_weissae,63.3,61.7,-107.735703,41.301399,Wyoming,Carbon,Palenochtha_weissae
Pandemonium_dis,66,63.3,-106.099998,47.799999,Montana,McCone,Pandemonium_dis
Paromomys_maturus,63.3,61.7,-104.800003,47.099998,Montana,Dawson,Paromomys_maturus
Cantius_mckennai,55.8,50.3,-109.083336,44.766666,Wyoming,Park,Cantius_mckennai
Cantius_ralstoni,55.8,50.3,-109,44.299999,Wyoming,Park,Cantius_ralstoni
Ignacius_frugivorus,61.7,56.8,-107.633331,37.116669,Colorado,La Plata,Ignacius_frugivorus
Ignacius_frugivorus,61.7,56.8,-107.099998,43.200001,Wyoming,Natrona,Ignacius_frugivorus
Dillerlemur_pagei,56.8,55.8,-109,44.299999,Wyoming,Park,Dillerlemur_pagei
Picrodus_canpacius,61.7,56.8,-109.159103,43.453602,Wyoming,Fremont,Picrodus_canpacius
Picrodus_canpacius,61.7,56.8,-110.5,45.799999,Montana,Park,Picrodus_canpacius
Picrodus_calgariensis,63.3,61.7,-108.349998,43.849998,Wyoming,Hot Springs/Washakie,Picrodus_calgariensis
Picrodus_calgariensis,63.3,61.7,-114.099998,51,Alberta,NA,Picrodus_calgariensis
Picromomys_petersonorum,55.8,50.3,-108,44.5,Wyoming,Big Horn,Picromomys_petersonorum
Plesiadapis_anceps,61.7,56.8,-109.800003,45.799999,Montana,Sweetgrass,Plesiadapis_anceps
Plesiadapis_anceps,61.7,56.8,-108.1754,42.2869,Wyoming,Fremont,Plesiadapis_anceps
Plesiadapis_churchilli,61.7,56.8,-109,45.200001,Montana,Carbon,Plesiadapis_churchilli
Plesiadapis_churchilli,61.7,56.8,-107.099998,43.200001,Wyoming,Natrona,Plesiadapis_churchilli
Plesiadapis_churchilli,61.7,56.8,-102.748001,49.063999,Saskatchewan,NA,Plesiadapis_churchilli
Plesiadapis_cookei,56.8,55.8,-109,44.299999,Wyoming,Park,Plesiadapis_cookei
Plesiadapis_dubius,56.8,55.8,-109,44.299999,Wyoming,Park,Plesiadapis_dubius
Plesiadapis_dubius,56.8,55.8,-110.334503,41.268299,Wyoming,Lincoln,Plesiadapis_dubius
Plesiadapis_fodinatus,61.7,56.8,-108.934402,44.907501,Wyoming,Park,Plesiadapis_fodinatus
Plesiadapis_fodinatus,61.7,56.8,-108.914001,44.907501,Wyoming,Park,Plesiadapis_fodinatus
Plesiadapis_praecursor,61.7,56.8,-109.800003,45.799999,Montana,Sweetgrass,Plesiadapis_praecursor
Plesiadapis_rex,61.7,56.8,-108.376747,44.723801,Wyoming,Big Horn,Plesiadapis_rex
Plesiolestes_problematicus,63.3,61.7,-109,44.299999,Wyoming,Park,Plesiolestes_problematicus
Plesiolestes_problematicus,61.7,56.8,-109.159103,43.453602,Wyoming,Fremont,Plesiolestes_problematicus
Torrejonia_sirokyi,61.7,56.8,-108.1754,42.2869,Wyoming,Fremont,Torrejonia_sirokyi
Premnoides_douglassi,63.3,61.7,-109,44.299999,Wyoming,Park,Premnoides_douglassi
Pronothodectes_gaoi,61.7,56.8,-113.76667,52.349998,Alberta,NA,Pronothodectes_gaoi
Pronothodectes_jepi,63.3,61.7,-109,44.299999,Wyoming,Park,Pronothodectes_jepi
Pronothodectes_matthewi,63.3,61.7,-109.800003,45.799999,Montana,Sweetgrass,Pronothodectes_matthewi
Purgatorius_unio,66,63.3,-106.099998,47.799999,Montana,McCone,Purgatorius_unio
Shoshonius_bowni,50.3,46.2,-108.699997,43.700001,Wyoming,Hot Springs,Shoshonius_bowni
Shoshonius_cooperi,50.3,46.2,-107.333336,43.200001,Wyoming,Natrona,Shoshonius_cooperi
Smilodectes_gracilis,50.3,46.2,-110.5,41.200001,Wyoming,Uinta,Smilodectes_gracilis
