name,County,OBJECTID,CountySpendingPerStudent,CountyGraduateRate4yr,CountyGraduateRate5yr,mean_math,mean_sci,mean_comp,pop2010,pop2023,density,area,FIPS,Population 25 years and over,Less than 9th grade %,"9th to 12th grade, no diploma %",High school graduate (includes equivalency) %,"Some college, no degree %",Associate's degree %,Bachelor's degree %,Graduate or professional degree %,"Subtotal, high school graduate or higher %","Subtotal, bachelor's degree or higher %"
adair,1,72,23281.5,95.92,99.3583333333333,22.32,19.94,21.3,7682,7439,13.0738137082601,569,19001,5438,3.4,5.9,43,19.5,11.9,12.9,3.4,90.7,16.3
adams,2,81,16505,97.87,97.44,21.04,19.44,20.88,4029,3608,8.52955082742317,423,19003,2876,4.5,5.2,39.3,23.1,14.3,10.1,3.7,90.4,13.7
allamakee,3,5,18915.3636363636,93.6381818181818,97.0727272727273,22.7,20.65,22.02,14330,13980,21.8779342723005,639,19005,10012,5.7,5.2,43.8,21.3,9,11,3.9,89,14.9
appanoose,4,98,15417,95.3033333333333,96.1766666666667,20.7866666666667,19.3,20.06,12887,12146,24.4386317907445,497,19007,9040,4.8,7,38,21.4,10.6,13.1,5.1,88.3,18.3
audubon,5,59,21933,97.06,100,22.58,21.72,22.64,6119,5542,12.510158013544,443,19009,4356,4.1,5.7,41.2,21.3,11.2,12.8,3.8,90.3,16.6
benton,6,46,15958.6666666667,87.8066666666667,94.6633333333333,21.2285714285714,19.8857142857143,20.9928571428571,26076,25425,35.5097765363129,716,19011,17617,2.5,5.6,38,22.6,12.6,14.6,4.2,91.9,18.8
black_hawk,7,35,15633.8,91.18,95.266,21.4652173913043,20.1478260869565,21.195652173913,131090,131159,231.729681978799,566,19013,82367,3.7,6.8,34.2,19.9,10,16.9,8.4,89.5,25.3
boone,8,52,22710.3125,96.7333333333333,97.4033333333333,21.62,21.14,21.7,26306,26838,46.9195804195804,572,19015,18124,1.9,6,36.5,23.6,11.6,15.2,5.1,92,20.3
bremer,9,28,18458,95.6596153846154,96.0769230769231,22.54,21.605,22.525,24276,25201,57.9333333333333,435,19017,15943,2.7,3.5,34.2,19.4,11.9,20.1,8.2,93.8,28.3
buchanan,10,34,14637.1818181818,94.07,93.8154545454545,22.24,21.75,21.89,20958,20448,35.8108581436077,571,19019,13850,4.3,5.1,43.3,18.2,11.9,12.6,4.6,90.6,17.1
buena_vista,11,24,17598.1904761905,87.3425,93.748125,21.945,20.99,21.595,20260,20991,36.5060869565217,575,19021,12862,11.3,10,30.7,20.8,7.3,14.1,5.9,78.7,20
butler,12,30,18062.3333333333,98.4133333333333,96.5966666666667,22.2466666666667,21.0666666666667,21.7866666666667,14867,14175,24.4396551724138,580,19023,10454,4.2,5,43,20.2,12.8,11.8,3.2,90.9,15
calhoun,13,39,15967.3333333333,98.1966666666667,92.1033333333333,22.9,21.72,22.46,9670,10005,17.5526315789474,570,19025,7202,3.8,5.7,36.4,23.3,11.7,14.1,5,90.5,19.1
carroll,14,50,16270.8125,95.5275,97.009375,21.4933333333333,20.0666666666667,21.1066666666667,20816,20742,36.4534270650264,569,19027,14215,4.6,4.1,42.1,19.5,11,14.7,4.1,91.3,18.8
cass,15,70,14375.3333333333,92.4,90.69,21.14,19.94,20.7066666666667,13956,12878,22.8333333333333,564,19029,9706,2.3,4.9,44.3,20.7,8.9,13.9,5.1,92.8,19
cedar,16,56,14663.2,90.7775,93.455,21.5833333333333,20.5958333333333,21.475,18499,18508,31.9654576856649,579,19031,12869,2.4,5.5,39.6,20.7,12.2,13.9,5.7,92.1,19.5
cerro_gordo,17,17,17750.3333333333,85.6,92.9733333333333,20.3928571428571,19.7142857142857,20.0785714285714,44151,42821,75.3890845070423,568,19033,31114,2.8,5.2,31.7,23.5,15.7,15.1,5.9,92,21
cherokee,18,23,18626.5,92.7,94.225,21.65,21.11,21.72,12072,11535,19.9913344887348,577,19035,8613,2.8,5.7,37.3,23.6,11.1,15,4.5,91.6,19.6
chickasaw,19,18,16847.5,94.62,97.78,21.79,21.05,21.25,12439,11883,23.577380952381,504,19037,8588,5,6.2,45.5,19.3,10.2,10,3.8,88.8,13.8
clarke,20,86,13164.5,95.22,96.705,21.36,20.41,21.26,9286,9886,22.9373549883991,431,19039,6253,6.7,6,46,18.9,8.1,10.6,3.7,87.3,14.3
clay,21,14,15049,97.25,98.57,21.82,20.54,21.86,16667,16300,28.7477954144621,567,19041,11650,1.8,5,38.1,22.4,14.1,14.8,3.7,93.1,18.4
clayton,22,20,19774.8333333333,96.1658333333333,97.9483333333333,22.21,21.33,22.21,18129,16716,21.4858611825193,778,19043,12676,4.4,4,45.9,20.7,9.6,10.8,4.8,91.6,15.5
clinton,23,55,15507.8461538462,91.8980952380952,95.5704761904762,22.788,22.092,22.496,49116,45662,65.7007194244604,695,19045,33521,4.2,5.8,36.8,24.1,11.4,13,4.7,90,17.7
crawford,24,49,15898.75,96.03,98.18,20.775,19.645,20.61,17096,16354,22.9047619047619,714,19047,11082,12.9,8.2,37.5,19.1,7.7,10.7,4,78.9,14.7
dallas,25,62,17292.8333333333,95.205,96.9316666666667,21.7033333333333,20.97,21.4833333333333,66135,109740,186.632653061225,588,19049,45219,2.1,3.5,22.3,17.9,10.7,32.1,11.5,94.4,43.6
davis,26,95,25595,97.78,95.12,NA,NA,NA,8753,9218,18.3625498007968,502,19051,5537,9.4,5.2,35.2,22.2,11.7,12.5,4,85.5,16.4
decatur,27,96,15913,94.795,98.275,21.98,21.08,21.62,8457,7402,13.9135338345865,532,19053,5210,7.1,7.9,38.1,22.2,6.2,12.8,5.6,85,18.4
delaware,28,32,16197,98.66,96.855,21.71,20.73,21.38,17764,17404,30.1107266435986,578,19055,12073,4.1,4.9,43.6,22.1,9.8,11.4,4.1,91,15.5
des_moines,29,89,14291,83.1991666666667,88.08,21.34,20.12,21.15,40325,38484,92.5096153846154,416,19057,27873,2.8,6.1,36.1,25,11.1,12.9,5.9,91.1,18.9
dickinson,30,3,19256.5454545455,90.3545454545454,95.4427272727273,21.88,21.88,21.44,16667,18015,47.2834645669291,381,19059,12570,2.1,4.6,30.7,25,12.2,17.6,7.8,93.3,25.4
dubuque,31,31,16583.5,91.03,92.25,20.48,19.01,20.02,93653,100949,166.034539473684,608,19061,62453,3.3,5.2,36.4,19.4,8.6,17.6,9.4,91.4,27.1
emmet,32,4,18060,89.85,98.235,20.8666666666667,20.1,20.5833333333333,10302,9115,23.0176767676768,396,19063,6925,5.8,5.8,32.4,25.8,14.9,10.9,4.4,88.4,15.3
fayette,33,21,16094.75,89.2225,95.5925,21.7,21.15,21.61,20880,19098,26.1258549931601,731,19065,14081,4.2,6.8,39.8,20.8,10,12.2,6.3,88.9,18.4
floyd,34,19,15887.5,89.045,91.92,20.94,19.79,20.79,16303,15423,30.7844311377246,501,19067,11182,2.4,7,39.8,20.8,14,11.3,4.6,90.5,15.9
