County,AEA Code,AEA Name,District Code,District Name,Class of 2022 4 Year Numerator,Class of 2022 4 Year Denominator,Class of 2022 4 Year Graduation Rate,Class of 2021 5 Year Numerator,Class of 2021 5 Year Denominator,Class of 2021 5 Year Graduation Rate,7-12 Dropouts,7-12 Enrollment,7-12 Dropout Rate,9-12 Dropouts,9-12 Enrollment,9-12 Dropout Rate
42,07,Central Rivers AEA,0009,AGWSR Comm School District, 	41 , 	43 ,95.35, 	36 , 	40 ,90.00, 	4 , 	288 ,1.39, 	4 , 	197 ,2.03
39,11,Heartland AEA,0018,Adair-Casey Comm School District,,,,,,, 	1 , 	107 ,0.93,,,
25,11,Heartland AEA,0027,Adel DeSoto Minburn Comm School District, 	120 , 	124 ,96.77, 	133 , 	135 ,98.52, 	3 , 	929 ,0.32, 	3 , 	587 ,0.51
75,12,Northwest AEA,0063,Akron Westfield Comm School District, 	47 , 	47 ,100.00, 	38 , 	39 ,97.44, 	1 , 	283 ,0.35, 	1 , 	193 ,0.52
11,05,Prairie Lakes AEA,0072,Albert City-Truesdale Comm School District,,,,,,,,,,,,
68,15,Great Prairie AEA,0081,Albia Comm School District, 	97 , 	101 ,96.04, 	89 , 	95 ,93.68, 	8 , 	577 ,1.39, 	7 , 	386 ,1.81
57,10,Grant Wood AEA,0099,Alburnett Comm School District, 	49 , 	54 ,90.74, 	49 , 	53 ,92.45, 	4 , 	346 ,1.16, 	4 , 	225 ,1.78
42,07,Central Rivers AEA,0108,Alden Comm School District,,,,,,,,,,,,
55,05,Prairie Lakes AEA,0126,Algona Comm School District, 	93 , 	101 ,92.08, 	96 , 	102 ,94.12, 	16 , 	693 ,2.31, 	16 , 	467 ,3.43
03,01,Keystone AEA,0135,Allamakee Comm School District, 	72 , 	73 ,98.63, 	105 , 	110 ,95.45, 	4 , 	545 ,0.73, 	4 , 	362 ,1.10
12,07,Central Rivers AEA,0153,North Butler Comm School District, 	47 , 	47 ,100.00, 	29 , 	29 ,100.00, 	4 , 	294 ,1.36, 	4 , 	192 ,2.08
11,05,Prairie Lakes AEA,0171,Alta-Aurelia Comm School District, 	41 , 	46 ,89.13, 	44 , 	47 ,93.62, 	5 , 	315 ,1.59, 	5 , 	208 ,2.40
85,11,Heartland AEA,0225,Ames Comm School District, 	341 , 	357 ,95.52, 	300 , 	306 ,98.04, 	42 ," 	2,145 ",1.96, 	41 ," 	1,409 ",2.91
53,10,Grant Wood AEA,0234,Anamosa Comm School District, 	90 , 	99 ,90.91, 	87 , 	93 ,93.55, 	6 , 	597 ,1.01, 	5 , 	403 ,1.24
