county,county_name,district,district_name,k12_enrollment,reduced,free,total_reduced_free,percent_reduced_free,year
42,Hardin,9,AGWSR Comm School District,599,,,231,38.56,2022
39,Guthrie,18,Adair-Casey Comm School District,253,,,114,45.06,2022
25,Dallas,27,Adel DeSoto Minburn Comm School District,2204,,,414,18.78,2022
75,Plymouth,63,Akron Westfield Comm School District,580,,,193,33.28,2022
11,Buena Vista,72,Albert City-Truesdale Comm School District,102,,,54,52.94,2022
68,Monroe,81,Albia Comm School District,1064,,,437,41.07,2022
57,Linn,99,Alburnett Comm School District,766,,,165,21.54,2022
42,Hardin,108,Alden Comm School District,129,,,51,39.53,2022
55,Kossuth,126,Algona Comm School District,1423,,,515,36.19,2022
3,Allamakee,135,Allamakee Comm School District,1068,,,451,42.23,2022
12,Butler,153,North Butler Comm School District,517,,,147,28.43,2022
11,Buena Vista,171,Alta-Aurelia Comm School District,789,,,322,40.81,2022
85,Story,225,Ames Comm School District,4416,,,1423,32.22,2022
53,Jones,234,Anamosa Comm School District,1113,,,465,41.78,2022
49,Jackson,243,Andrew Comm School District,124,,,41,33.06,2022
77,Polk,261,Ankeny Comm School District,12399,,,2369,19.11,2022
12,Butler,279,Aplington-Parkersburg Comm School District,820,,,220,26.83,2022
32,Emmet,333,North Union Comm School District,305,,,161,52.79,2022
24,Crawford,355,Ar-We-Va Comm School District,224,,,91,40.63,2022
15,Cass,387,Atlantic Comm School District,1485,,,608,40.94,2022
5,Audubon,414,Audubon Comm School District,508,,,203,39.96,2022
78,Pottawattamie,441,AHSTW Comm School District,732,,,283,38.66,2022
85,Story,472,Ballard Comm School District,1823,,,304,16.68,2022
50,Jasper,513,Baxter Comm School District,458,,,135,29.48,2022
38,Grundy,540,BCLUW Comm School District,476,,,196,41.18,2022
87,Taylor,549,Bedford Comm School District,498,,,190,38.15,2022
6,Benton,576,Belle Plaine Comm School District,450,,,183,40.67,2022
49,Jackson,585,Bellevue Comm School District,705,,,175,24.82,2022
99,Wright,594,Belmond-Klemme Comm School District,653,,,343,52.53,2022
16,Cedar,603,Bennett Comm School District,69,,,33,47.83,2022
6,Benton,609,Benton Comm School District,1530,,,374,24.44,2022
82,Scott,621,Bettendorf Comm School District,4336,,,1471,33.93,2022
90,Wapello,657,Eddyville-Blakesburg- Fremont CSD,902,,,332,36.81,2022
77,Polk,720,Bondurant-Farrar Comm School District,2592,,,531,20.49,2022
8,Boone,729,Boone Comm School District,1890,,,737,38.99,2022
84,Sioux,747,Boyden-Hull Comm School District,566,,,227,40.11,2022
41,Hancock,819,West Hancock Comm School District,542,,,209,38.56,2022
79,Poweshiek,846,Brooklyn-Guernsey-Malcom Comm School District,532,,,184,34.59,2022
95,Winnebago,873,North Iowa Comm School District,446,,,197,44.17,2022
29,Des Moines,882,Burlington Comm School District,3154,,,2037,64.58,2022
